waktu,tweet,sentiment
2021-08-16 23:35:33,"['indonesia', 'mas', 'perintah', 'rencana', 'booster', 'timbang', 'pasok', 'vaksin', 'batas', 'banget', 'masyarakat', 'vaksin']",neutral
2021-08-16 23:32:03,"['baca', 'paksa', 'ancam', 'publik', 'fasilitas', 'layan']",negative
2021-08-16 23:31:27,"['vaksin', 'terima', 'saran', 'yuk', 'dukung', 'indonesia', 'lekas', 'bangkit']",positive
2021-08-16 23:24:50,"['rakyat', 'indonesia', 'vaksin', 'vaksin', 'takut', 'vaksin', 'vaksin', 'jalan', 'doa', 'moga', 'merdeka', 'bebas', 'pandemi', 'hidup', 'jalan', 'normal', 'dirgahayu', 'indonesia']",positive
2021-08-16 23:24:04,"['indonesia', 'portugal', 'vaksin', 'bikin', 'eh', 'perspektif', 'gimana', 'perintah']",neutral
2021-08-16 23:22:55,"['selamat', 'ulang', 'republik', 'indonesia', 'vaksin']",neutral
2021-08-16 23:21:38,"['vaksin', 'rakyat', 'indonesia', 'percaya', 'kadrun', 'hti', 'fpi', 'bikin', 'kadrun', 'nkri', 'vaksin', 'biar', 'covid', 'modar']",negative
2021-08-16 23:20:24,"['slank', 'media', 'group', 'bikin', 'gera', 'tema', 'vaksin', 'indonesia']",positive
2021-08-16 23:19:37,"['acung', 'jempol', 'sedia', 'vaksin', 'indonesia', 'sulit', 'rintang']",positive
2021-08-16 23:18:14,"['warga', 'indonesia', 'vaksin', 'bahan', 'panjang']",neutral
2021-08-16 23:09:36,"['jrx', 'inspirasi', 'buka', 'mata', 'orang', 'betapa', 'vaksin', 'moga', 'salah']",positive
2021-08-16 23:07:57,"['vaksin', 'indonesia']",positive
2021-08-16 23:03:45,"['slank', 'media', 'group', 'bikin', 'gera', 'tema', 'vaksin', 'indonesia', 'harap', 'musik', 'dialog', 'acara', 'semangat', 'dampak', 'pandemi', 'hidup', 'semangat']",positive
2021-08-16 23:01:54,"['vaksin', 'indonesia', 'mari', 'sukses']",positive
2021-08-16 23:00:02,"['upaya', 'dukung', 'vaksinasi', 'tanah', 'air', 'media', 'group', 'slank', 'gelora', 'kampanye', 'sosial', 'tajuk', 'vaksin', 'indonesia']",positive
2021-08-16 23:00:00,"['vaksin', 'indonesia', 'sukses', 'vaksinasi', 'covid', 'terap', 'protokol', 'sehat', 'kunci', 'upaya', 'pulih', 'ekonomi', 'nasional']",positive
2021-08-16 22:57:53,"['moga', 'negara', 'indonesia', 'sembuh', 'wabah', 'covid', 'masyarakat', 'eyza', 'harap', 'mngikuti', 'protokol', 'kesehatanvaksin', 'indonesia', 'pulih', 'lupa', 'pakai', 'masker', 'cuci', 'tangan', 'hindar', 'kerumun']",positive
2021-08-16 22:51:12,"['merdeka', 'konflik', 'agama', 'politik', 'beres', 'tambah', 'hina', 'presiden', 'terima', 'vaksin', 'raya', 'indonesia', 'merdeka', 'merdeka', 'lihat']",negative
2021-08-16 22:48:44,"['sambut', 'merdeka', 'republik', 'indonesia', 'polres', 'sawar', 'polsek', 'jajar', 'diri', 'gerai', 'vaksin', 'merdeka', 'gerai', 'vaksin', 'merdeka', 'diri']",positive
2021-08-16 22:27:06,"['capai', 'vaksin', 'indonesia', 'duduk', 'indonesia', 'juta', 'jiwa', 'vaksin', 'juta', 'orang', 'juta', 'vaksin', 'vaksin', 'rebut', 'negara', 'vaksin', 'capai']",negative
2021-08-16 22:21:37,"['duduk', 'indonesia', 'belanda', 'luas', 'sejawa', 'timur', 'duduk', 'vaksin', 'lockdown', 'nurut', 'lockdown', 'nurut', 'natal', 'terima', 'tamu', 'orang']",neutral
2021-08-16 22:08:54,"['negara', 'negara', 'maju', 'anti', 'vaksin', 'indonesia', 'negara', 'kasih', 'uang', 'rakyat', 'vaksin']",negative
2021-08-16 21:45:11,"['duta', 'vaksin', 'karma']",negative
2021-08-16 21:33:27,"['manfaat', 'pandemi', 'momentum', 'baik', 'reformasi', 'sistem', 'sehat', 'indonesia', 'bangun', 'produksi']",positive
2021-08-16 21:26:53,"['duduk', 'indonesia', 'terima', 'dosis', 'vaksin', 'covid']",neutral
2021-08-16 21:12:19,"['perintah', 'pusat', 'tangan', 'sibuk', 'urus', 'riil', 'resin', 'vaksin', 'bagi', 'bansos']",negative
2021-08-16 20:59:00,"['diplomasi', 'vaksin', 'indonesia', 'tunjuk', 'dunia', 'indonesia', 'peran', 'aktif', 'laksana', 'tertib', 'dunia']",positive
2021-08-16 20:58:55,"['diplomasi', 'vaksin', 'indonesia', 'juang', 'tara', 'akses', 'vaksin', 'bangsa']",positive
2021-08-16 20:57:40,"['perintah', 'keras', 'kerah', 'sumber', 'daya', 'aman', 'pasok', 'butuh', 'vaksin', 'nasional']",positive
2021-08-16 20:50:54,"['indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac', 'bentuk', 'kabar', 'tangsel']",neutral
2021-08-16 20:42:27,"['indonesia', 'anti', 'vaksin', 'takut', 'pakai', 'vaksin', 'uji', 'coba', 'nyata', 'alami', 'kipi', 'parah']",negative
2021-08-16 20:02:42,"['juta', 'dosis', 'vaksin', 'sinovac', 'siang']",neutral
2021-08-16 19:53:13,"['amerika', 'prancis', 'kirim', 'bantu', 'vaksin', 'indonesia', 'tinggal', 'tunggu', 'negara', 'islam', 'sesuai', 'ukhuwah']",neutral
2021-08-16 19:47:57,"['sejarah', 'rakyat', 'satu', 'indonesia', 'jajah', 'covid', 'satu', 'lawan', 'covid', 'vaksin', 'menang', 'lawan', 'virus', 'rekam', 'jejak', 'jajah', 'jepang', 'indonesia']",positive
2021-08-16 19:35:07,"['perintah', 'indonesia', 'juta', 'dosis', 'vaksin', 'pakai', 'sinovac', 'senin', 'agustus', 'datang']",neutral
2021-08-16 19:34:52,"['datang', 'vaksin', 'indonesia', 'aman', 'juta', 'dosis', 'vaksin', 'covid', 'bentuk', 'bahan', 'baku']",neutral
2021-08-16 19:01:51,"['indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac', 'bentuk']",neutral
2021-08-16 19:01:48,"['indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac', 'bentuk', 'via', 'tangsel']",neutral
2021-08-16 18:58:56,"['vaksin', 'disiplin', 'prokes', 'cipta', 'herd', 'immunity', 'rakyat', 'indonesia', 'ibadah', 'haji', 'umroh']",positive
2021-08-16 18:58:28,"['halo', 'kak', 'rute', 'cgkdps', 'terima', 'vaksin', 'dosis', 'lengkap', 'tunjuk', 'sertifikat', 'vaksin', 'lampir', 'antigen', 'laku', 'berangkat', 'jam', 'isi', 'formulir', 'aplikasi', 'ehac', 'indonesia']",neutral
2021-08-16 18:55:59,"['perintah', 'pusat', 'tangan', 'sibuk', 'urus', 'riil', 'resin', 'vaksin', 'bagi', 'bansos', 'indonesia', 'negara', 'komunitas', 'netizen', 'indonesia', 'diri', 'kontra', 'narasi', 'kaum', 'radikal', 'hasut', 'libas']",negative
2021-08-16 18:55:57,"['juta', 'duduk', 'indonesia', 'vaksin', 'merdeka', 'virus', 'covid']",neutral
2021-08-16 18:52:32,"['tahap', 'indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac', 'kabar', 'tangsel']",neutral
2021-08-16 18:46:07,"['perintah', 'indonesia', 'juta', 'dosis', 'vaksin', 'pakai', 'sinovac', 'senin', 'agustus']",neutral
2021-08-16 18:44:32,"['tahap', 'indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac']",neutral
2021-08-16 18:44:31,"['tahap', 'indonesia', 'datang', 'juta', 'dosis', 'vaksin', 'sinovac', 'via', 'tangsel']",neutral
2021-08-16 18:36:16,"['halo', 'kak', 'rute', 'hlpsub', 'terima', 'vaksin', 'dosis', 'lengkap', 'tunjuk', 'sertifikat', 'vaksin', 'lampir', 'antigen', 'laku', 'berangkat', 'jam', 'isi', 'formulir', 'aplikasi', 'ehac', 'indonesia', 'tks', 'bon']",neutral
2021-08-16 18:25:23,"['juang', 'lawan', 'corona', 'virus', 'indonesia', 'tangguh', 'indonesia', 'tumbuh', 'sehat', 'indonesia', 'sehat', 'bangsa', 'sehat', 'rakyat', 'indonesia', 'sakit', 'moga', 'cepat', 'sembuh', 'patuh', 'prokes', 'lupa', 'vaksin']",positive
2021-08-16 18:24:04,"['perintah', 'indonesia', 'juta', 'dosis', 'vaksin', 'pakai', 'sinovac', 'senin', 'agustus', 'datang', 'vaksin', 'indonesia', 'aman', 'juta', 'dosis', 'vaksin', 'covid']",neutral
2021-08-16 18:22:34,"['umur', 'mari', 'bangun', 'indonesia', 'basmi', 'virus', 'covid', 'rumah', 'perlu', 'hindar', 'kerumun', 'patuh', 'protokol', 'sehat', 'ikut', 'arah', 'perintah', 'vaksin']",positive
2021-08-16 18:18:38,"['orang', 'tentang', 'vaksin', 'percaya', 'teori', 'konspirasi', 'ikut', 'jerinx']",negative
2021-08-16 18:17:37,"['indonesia', 'traktir', 'vaksin']",neutral
2021-08-16 18:09:35,"['lagipula', 'covid', 'tinggi', 'liga', 'jalan', 'tonton', 'jalan', 'vaksin', 'vaksin', 'liga', 'indonesia', 'jalan']",neutral
2021-08-16 18:01:48,"['moga', 'program', 'vaksinasi', 'jalan', 'cepat', 'lancar', 'rata', 'rakyat', 'indonesia', 'vaksin']",positive
2021-08-16 18:00:16,"['sri', 'mulyani', 'gambar', 'sedia', 'vaksin', 'covid', 'dorong', 'ekonomi', 'indonesia']",neutral
2021-08-16 17:59:28,"['indonesia', 'vaksin', 'dosis']",neutral
2021-08-16 17:51:59,"['halo', 'min', 'vaksin', 'nih', 'tanggal', 'sertifikat', 'kirim', 'sms', 'kaya', 'urus']",neutral
2021-08-16 17:42:19,"['ppkm', 'panjang', 'sabar', 'warga', 'indonesia', 'biar', 'bye', 'covid', 'inggris', 'lockdown', 'pulih', 'tunggu', 'vaksin']",neutral
2021-08-16 17:31:53,"['pintar', 'peluang', 'orang', 'indonesia', 'jual', 'kartu', 'sertifikat', 'vaksin', 'kartu', 'tau', 'gin', 'panas', 'antre', 'tunggu', 'anggota', 'polisi', 'indonesia', 'tolong', 'tindak']",neutral
2021-08-16 17:28:43,"['web', 'tri', 'sehat', 'jepang', 'sana', 'mandatory', 'vaksin', 'paksa', 'orang', 'vaksin']",neutral
2021-08-16 17:21:57,"['bagi', 'kasih', 'indonesia', 'besok', 'ulang', 'ayo', 'indonesia', 'kuat', 'anti', 'vaksin', 'ayo', 'vaksin', 'ayo', 'bantu', 'nakes', 'apa', 'lalu', 'vaksin', 'wujud', 'indonesia', 'sehat', 'selamat', 'ulang', 'indonesia']",positive
2021-08-16 17:20:18,"['bening', 'suruh', 'tonton', 'kurgesagt', 'vaksin', 'linknya', 'caption', 'ganti', 'bahasa', 'indonesia', 'paham']",neutral
2021-08-16 17:11:54,"['manfaat', 'pandemi', 'momentum', 'baik', 'reformasi', 'sistem', 'sehat', 'indonesia', 'bangun']",positive
2021-08-16 17:11:52,"['dirgahayu', 'republik', 'indonesia', 'selamat', 'saksi', 'video', 'klip', 'rhapsody', 'indonesia', 'album', 'vaksin', 'slank', 'slanktube', 'channel', 'musik', 'slank', 'youtube', 'klik']",neutral
2021-08-16 17:00:12,"['diplomasi', 'vaksin', 'dunia', 'indonesia', 'peran', 'aktif', 'laksana']",positive
2021-08-16 17:00:03,"['pandemi', 'cepat', 'kembang', 'industri', 'farmasi', 'negeri', 'kembang', 'vaksin', 'merahputih']",positive
2021-08-16 16:56:10,"['nauzubilahmindzalik', 'syukur', 'tangan', 'mati', 'habis', 'vaksin', 'astrazeneca', 'syukur', 'rumah', 'keluarga', 'nauzubilahmindzalik', 'syukur', 'indonesia', 'aneh', 'rebut', 'pesawat', 'kaya', 'gin']",neutral
2021-08-16 16:53:42,"['selamat', 'malam', 'presiden', 'hemat', 'apbn', 'tolong', 'vaksinasi', 'buka', 'lebar', 'lebar', 'bayar', 'swasta', 'vaksin', 'booster', 'beban', 'apbn']",neutral
2021-08-16 16:51:15,"['malam', 'sahabat', 'terbang', 'rute', 'wajib', 'kartu', 'vaksin', 'minimal', 'vaksinasi', 'dosis', 'surat', 'terang', 'hasil', 'negatif', 'tes', 'swab', 'pcr', 'jam', 'berangkat', 'syarat', 'jalan', 'isi', 'ehac', 'indonesia']",neutral
2021-08-16 16:43:20,"['unty', 'indonesia', 'vaksin', 'vaksin', 'nusantara']",neutral
2021-08-16 16:42:58,"['ppkm', 'panjang', 'warga', 'indonesia', 'vaksin', 'ppkm', 'bentuk', 'admininstrasi', 'pakai', 'surat', 'vaksin', 'eh', 'kaya', 'gitu']",neutral
2021-08-16 16:40:00,"['vaksin', 'covid', 'tahap', 'indonesia', 'indonesia', 'datang', 'juta', 'vaksin', 'sinovac', 'pakai', 'indonesia', 'aman', 'juta', 'dosis', 'vaksin', 'covid', 'bentuk', 'bahan', 'baku']",neutral
2021-08-16 16:38:10,"['gila', 'bilang', 'chip', 'data', 'identitas', 'transaksi', 'iya', 'tau', 'indonesia']",negative
2021-08-16 16:37:38,"['warga', 'negara', 'indonesia', 'rantau', 'vaksin', 'daftar', 'tunggu', 'jadwal', 'via', 'wa', 'daftar', 'wa']",neutral
2021-08-16 16:35:41,"['susah', 'warga', 'negara', 'indonesia', 'vaksin', 'rebut', 'tiket', 'vaksin']",negative
2021-08-16 16:29:30,"['halo', 'kak', 'informasi', 'syarat', 'terbang', 'cgkbks', 'wajib', 'lampir', 'sertifikat', 'vaksin', 'minimum', 'dosis', 'hasil', 'negatif', 'pcr', 'laku', 'jam', 'isi', 'ehac', 'indonesia', 'tks', 'bon']",neutral
2021-08-16 16:24:37,"['halo', 'kak', 'informasi', 'syarat', 'terbang', 'pekanbaru', 'banda', 'aceh', 'wajib', 'lampir', 'sertifikat', 'vaksin', 'minimum', 'dosis', 'hasil', 'negatif', 'pcr', 'laku', 'jam', 'isi', 'ehac', 'indonesia', 'tks', 'bon']",neutral
2021-08-16 16:20:24,"['millenial', 'vaksin']",neutral
2021-08-16 16:18:17,"['indonesia', 'mah', 'mental', 'bully', 'vaksin', 'salah', 'vaksin', 'ejek', 'ribet', 'gin', 'kompak', 'ayo', 'fans', 'idealisme', 'beda', 'bully']",negative
2021-08-16 16:15:36,"['corona', 'hilang', 'vaksin', 'capai', 'masyarakat', 'indonesia']",neutral
2021-08-16 16:12:02,"['pecah', 'sinovac', 'vaksin', 'nama']",neutral
2021-08-16 16:08:11,"['dirgahayu', 'republik', 'indonesia', 'tingkat', 'iman', 'imun', 'pandemi', 'tangguh', 'indonesia', 'tumbuh']",positive
2021-08-16 15:56:53,"['covid', 'indonesia', 'turun', 'malu', 'negara', 'gelar', 'konser', 'masyarakat', 'vaksin', 'semangat', 'kawan', 'wisuda', 'online']",neutral
2021-08-16 15:56:13,"['vaksin', 'chip', 'mikroskop', 'elektron', 'ramai', 'ramai', 'bawa', 'larut', 'vaksin']",negative
2021-08-16 15:55:31,"['ayo', 'ayo', 'indonesia', 'ayo', 'vaksin']",positive
2021-08-16 15:54:37,"['menteri', 'jual', 'vaksin', 'paksa', 'kabar', 'vaksin']",negative
2021-08-16 15:48:48,"['orang', 'terima', 'vaksin', 'covid', 'indonesia', 'agustus', 'dosis']",neutral
2021-08-16 15:43:54,"['indonesia', 'capai', 'juta', 'sunti', 'vaksin']",neutral
2021-08-16 15:35:10,"['ayo', 'vaksin']",positive
2021-08-16 15:34:27,"['aduh', 'ppkm', 'mempan', 'gitu', 'mending', 'indonesia', 'pcr', 'nih', 'pisah', 'sehat', 'sakit', 'gitu', 'sehat', 'dikencengin', 'vaksin', 'sakit', 'fokus', 'obat']",negative
2021-08-16 15:29:45,"['presiden', 'jokowi', 'muka', 'betapa', 'berat', 'juang', 'rebut', 'vaksin']",positive
2021-08-16 15:27:47,"['manfaat', 'pandemi', 'momentum', 'baik', 'reformasi', 'sistem', 'sehat', 'indonesia']",positive
2021-08-16 15:27:25,"['manfaat', 'pandemi', 'momentum', 'baik', 'reformasi', 'sistem', 'sehat', 'indonesia', 'bangun', 'produksi', 'vaksin', 'dorong', 'kembang', 'industri', 'farmasi', 'kuat', 'kompetitif']",positive
2021-08-16 15:25:24,"['negeri', 'ramai', 'tolak', 'vaksin', 'indonesia', 'ramai', 'antre', 'vaksin', 'bodoh']",negative
2021-08-16 15:24:44,"['terima', 'kasih', 'nonton', 'rhapsody', 'bangkit', 'indonesia', 'nanti', 'luncur', 'video', 'klip', 'rhapsody', 'indonesia']",neutral
2021-08-16 15:22:59,"['vaksin', 'kandung', 'liquid', 'micro', 'chip', 'langsung', 'hubung', 'satelit', 'cina', 'orbit', 'indonesia', 'tanggung', 'gila']",negative
2021-08-16 15:22:51,"['andai', 'luas', 'wilayah', 'indonesia', 'pulau', 'bal', 'duduk', 'peringkat', 'top', 'dunia', 'wujud', 'ayo', 'bangun', 'ayo', 'perintah', 'usaha', 'ekstra', 'tanggulang', 'gelombang', 'pandemi', 'covid', 'setidaknua', 'stok', 'vaksin', 'masuk']",positive
2021-08-16 15:21:20,"['harap', 'muluk', 'muluk', 'indonesia', 'cepat', 'bebas', 'belenggu', 'pandemi', 'negara', 'negara', 'vaksin', 'galak', 'oh', 'iya', 'gais', 'promosi', 'rangka', 'besok']",positive
2021-08-16 15:14:47,"['jrx', 'inspirasi', 'buka', 'mata', 'orang', 'betapa', 'vaksin', 'moga', 'salah', 'momentum', 'indonesia', 'pariwisata', 'bal', 'mari', 'sukses', 'program', 'vaksinasi', 'nasional', 'merdeka']",positive
2021-08-16 15:10:05,"['lupa', 'indonesia', 'capai', 'herd', 'immunity', 'orang', 'kena', 'covid', 'sembuh', 'hitung', 'vaksin', 'terima', 'kasih']",neutral
2021-08-16 15:09:54,"['corona', 'virus', 'adlah', 'musuh', 'pikir', 'perang', 'perisai', 'vaksin', 'perisai', 'corona', 'virus', 'menang', 'manusia', 'cerdas', 'corona', 'virus', 'apkah', 'layak', 'kalah', 'perang', 'akal', 'budi', 'cipta', 'tuhan']",positive
2021-08-16 15:09:11,"['perintah', 'indonesia', 'juta', 'dosis', 'vaksin', 'pakai', 'sinovac', 'senin', 'agustus', 'datang', 'vaksin', 'indonesia', 'aman', 'juta', 'dosis', 'vaksin', 'covid', 'bentuk', 'bahan', 'baku']",neutral
2021-08-16 15:03:11,"['vaksin', 'butuh', 'warga', 'indonesia', 'vaksin', 'duduk', 'juta', 'orang', 'vaksin', 'tahap', 'langsung', 'juta', 'vaksin', 'serentak', 'tunggu', 'vaksin', 'tunggu', 'ppkm', 'selesai']",neutral
2021-08-16 15:01:46,['vaksin'],neutral
2021-08-16 15:00:48,"['sambut', 'merdeka', 'republik', 'indonesia', 'polres', 'sawar', 'polsek', 'jajar', 'diri', 'gerai', 'vaksin', 'merdeka', 'gerai', 'vaksin', 'merdeka', 'diri', 'layan', 'vaksinasi', 'gratis', 'masyarakat', 'bantu', 'perintah', 'tekan', 'angka', 'infeksi']",positive
2021-08-16 14:57:43,"['perintah', 'keras', 'kerah', 'sumber', 'daya', 'aman', 'pasok', 'butuh', 'vaksin', 'nasional']",positive
2021-08-16 14:57:09,"['atas', 'pandemi', 'covid', 'atas', 'ekonomi', 'lapang', 'kerja', 'rakyat', 'indonesia', 'ekonomi', 'rakyat', 'bagus', 'jamin', 'rakyat', 'beli', 'obat', 'vaksin', 'uang', 'baik', 'ekonomi', 'rakyat']",negative
2021-08-16 14:55:22,"['luar', 'negeri', 'orang', 'vaksin', 'bcg', 'indonesia', 'liat', 'group', 'parenting', 'rem', 'banget', 'sih', 'dikit', 'bayi', 'tb', 'tular', 'keluarga', 'vaksin', 'rem']",negative
2021-08-16 14:54:05,"['menkes', 'klaim', 'juta', 'warga', 'indonesia', 'suntik', 'vaksin', 'covid']",neutral
2021-08-16 14:51:32,"['henti', 'alat', 'global', 'bunuh', 'indonesia', 'vaksin']",negative
2021-08-16 14:50:36,"['vaksin', 'pakai', 'domisili', 'si', 'orang', 'warga', 'indonesia', 'sehat', 'sulit']",negative
2021-08-16 14:43:56,"['datang', 'vaksin', 'upaya', 'perintah', 'indonesia', 'penuh', 'butuh', 'stok', 'vaksin', 'covid']",neutral
2021-08-16 14:42:51,"['perintah', 'presiden', 'juta', 'dosis', 'vaksin', 'pakai', 'sinovac', 'senin', 'agustus', 'datang', 'vaksin', 'indonesia', 'aman', 'juta', 'dosis', 'vaksin', 'covid', 'bentuk', 'bahan', 'baku']",neutral
2021-08-16 14:42:03,"['terima', 'kasih', 'nonton', 'rhapsody', 'bangkit', 'indonesia', 'nanti', 'luncur', 'video', 'klip', 'rhapsody', 'indonesia', 'agustus', 'wib', 'channel', 'musik', 'slank', 'youtube']",neutral
2021-08-16 14:41:21,"['selamat', 'merdeka', 'indonesia', 'juang', 'korban', 'hidup', 'alam', 'merdeka', 'syukur']",neutral
2021-08-16 14:41:21,"['jajah', 'global', 'psikopat', 'bunuh', 'vaksin', 'pandemi']",negative
2021-08-16 14:34:53,"['tolong', 'indonesia', 'gin', 'rumah', 'bulan', 'kecuali', 'kemrin', 'vaksin', 'ipb', 'pindah', 'alih', 'isu', 'jujur', 'gin', 'banget']",neutral
2021-08-16 14:34:36,"['presiden', 'langkah', 'indonesia', 'manfaat', 'pandemi', 'covid', 'positif']",positive
2021-08-16 14:34:14,"['kapolsek', 'kebon', 'jeruk', 'laksana', 'tinjau', 'gerai', 'vaksin', 'merdeka', 'gerai', 'vaksin', 'kec', 'kebon', 'jeruk', 'jakbar', 'indonesia', 'poldametrojaya', 'jakbar', 'indonesia']",neutral
2021-08-16 14:32:54,"['indonesia', 'datang', 'juta', 'vaksin', 'sinovac', 'pakai']",neutral
2021-08-16 14:32:20,"['alhamdulillah', 'tuntas', 'vaksinasi', 'warga', 'negara', 'sehat', 'otomatis', 'indonesia', 'sehat', 'bebas', 'corona']",positive
2021-08-16 14:29:40,"['cari', 'rumah', 'makan', 'indonesia', 'amsterdam', 'gampang', 'banget', 'beda', 'koln', 'oh', 'makan', 'pakai']",neutral
2021-08-16 14:25:14,"['kartu', 'vaksin', 'vaksinasi', 'dosis', 'surat', 'terang', 'hasil', 'negatif', 'rapid', 'test', 'antigen', 'sampel', 'ambil', 'kurun', 'maksimal', 'jam', 'berangkat', 'isi', 'ehac', 'indonesia', 'surat', 'antar', 'rt', 'rw', 'tks', 'rohman']",neutral
2021-08-16 14:24:46,"['perintah', 'juta', 'dosis', 'vaksin', 'covid', 'produksi', 'sinovac', 'bentuk', 'datang']",neutral
2021-08-16 14:21:46,"['kaya', 'masyarakat', 'indonesia', 'vaksin']",neutral
2021-08-16 14:20:57,"['juta', 'orang', 'indonesia', 'vaksin']",neutral
2021-08-16 14:20:04,"['percaya', 'vaksin', 'impor', 'gitu', 'bodoh', 'indonesia', 'mobil', 'motor', 'listrik', 'abai', 'takut', 'jatah', 'jepang', 'vaksin', 'abai', 'jatah', 'cina', 'indonesia', 'hancur']",negative
2021-08-16 14:16:51,"['ikut', 'vaksin', 'juang', 'lawan', 'pandemi', 'indonesia']",positive
2021-08-16 14:15:40,"['ayo', 'mari', 'peduli', 'sehat', 'warga', 'indonesia', 'ikut', 'vaksin', 'indonesia']",positive
2021-08-16 14:15:26,"['ayo', 'vaksin', 'dukung', 'nakes', 'juang', 'kuat', 'indonesia']",positive
2021-08-16 14:12:50,"['makasih', 'vaksinator', 'semangat', 'vaksin', 'kuat', 'indonesia']",positive
2021-08-16 14:12:15,"['ayo', 'guys', 'vaksin', 'gotong', 'royong', 'nakes', 'kurang', 'beban', 'indonesia']",positive
2021-08-16 14:11:47,"['vaksin', 'wajib', 'loh', 'hukum', 'vaksin', 'bantu', 'ringan', 'beban', 'nakes', 'indonesia']",positive
2021-08-16 14:11:16,"['mudah', 'banget', 'loh', 'juang', 'pandemi', 'ikut', 'vaksin', 'indonesia']",positive
2021-08-16 14:10:46,"['anak', 'muda', 'vaksin', 'lindung', 'warga', 'indonesia', 'indonesia']",positive
2021-08-16 14:10:41,"['ayo', 'juang', 'vaksin', 'kali', 'indonesia']",positive
2021-08-16 14:05:37,"['indonesia', 'datang', 'vaksin', 'covid', 'siang', 'senin', 'juta', 'dosis', 'vaksin', 'covid', 'produksi', 'sinovac', 'bentuk', 'tanah', 'air']",neutral
2021-08-16 14:02:22,"['salut', 'jerinx', 'anti', 'vaksin', 'sekar', 'vaksin', 'dukung', 'vaksinasi', 'nasional', 'moga', 'langkah']",positive
2021-08-16 13:56:27,"['indonesia', 'alami', 'krisis', 'legitimasi', 'liat', 'peristiwa', 'covid']",negative
2021-08-16 13:55:01,"['bantu', 'masyarakat', 'akses', 'vaksin', 'covid', 'pp', 'syubbanul', 'wathon', 'dpc', 'pkb', 'kabupaten', 'magelang', 'minggu']",neutral
2021-08-16 13:53:51,"['indonesia', 'keren', 'vaksin', 'hari', 'tembus', 'juta', 'moga', 'kencang', 'habis']",positive
2021-08-16 13:53:12,"['indonesia', 'alami', 'krisis', 'legitimasi', 'liat', 'peristiwa', 'covid', 'vaksin', 'betapa', 'masyarakat', 'percaya', 'asumsi', 'akal', 'perintah', 'covidnya', 'rasa', 'langsung', 'mata']",negative
2021-08-16 13:52:13,"['manfaat', 'pandemi', 'momentum', 'baik', 'reformasi', 'sistem', 'sehat', 'indonesia', 'bangun', 'produksi', 'vaksin', 'dorong', 'kembang', 'industri', 'farmasi', 'kuat', 'kompetitif']",positive
2021-08-16 13:49:58,"['dewan', 'pimpin', 'daerah', 'dpd', 'partai', 'gera', 'indonesia', 'raya', 'gerindra', 'provinsi', 'papua', 'fasilitas', 'warga', 'vaksin', 'warga', 'wilayah', 'jayapura', 'kotaraja', 'abepura', 'waena', 'tanggal', 'agustus']",neutral
